line,firstnum,lastnum,calibration
dmfive1ffprhgfnrx49,5,9,59
7cfdcptvvnvhfivetwo,7,2,72
18kqkxdlnhjbqoneszclkzljhnhqd,1,1,11
52lcclkxsix,5,6,56
three7five5cjtgpzjfoureight,3,8,38
53pchxqfpcfddsqzl7oneeight,5,8,58
ctjg84hqsjxfive,8,5,85
1znmjftpq7xbxt,1,7,17
nine71krj7fivenine,9,9,99
pgr6lfbhkpsjhhjpgqnxtxmkpdktnine21,6,1,61
xhkeightwo14four23eightqxhpct,8,8,88
x1,1,1,11
7357fivehfbbgdhzg,7,5,75
rktbdvm41seven,4,7,47
6fshmcmxdsfgxrcfvone,6,1,61
nndrdq7six,7,6,76
5two7r,5,7,57
one78gnsdkhkqfourfdsghnll6g,1,6,16
3sixht,3,6,36
96mbxlpgctgf1sixfivefour,9,4,94
2sixbcqskzpqbqtt8sixrtngznb2,2,2,22
twoone9fvmczldvtk,2,9,29
4jpfmgzgdhs,4,,4
3ninefour,3,4,34
61nine,6,9,69
8kleightoneightrhf,8,8,88
51sixg,5,6,56
pckfpxzmrthreejvh8eighteight5,3,5,35
ssmgkkblkfive68eight2,5,2,52
nxkxdtckfb95bpdtrdhhltjdqpnine6,9,6,96
kqjkvndr3lfqthvmbrbfgzrbcntpcrd,3,3,33
44sixtwonineonefour,4,4,44
gtvlneighteight5961nine2,8,2,82
14lzxzbvbg4sixeightpthgz3,1,3,13
8814eighttph,8,8,88
7rpf8fivedkfivesfxgkjmniners,7,9,79
six6zsxzcfmcxzn2,6,2,62
four12dkgnmsjqtjp7zmzbsp,4,7,47
8two69six,8,6,86
three13six4three6one3,3,3,33
threedfmcmxgxzhglv36five,3,5,35
8kkjrbkmbt2,8,2,82
jhttwone3fivethree8ninehjgnvmxtkdcpmhhvrb,2,9,29
sixtwofourseven86zs8,6,8,68
26seven,2,7,27
28three6,2,6,26
qpsznsqqfb4ntcdf,4,4,44
9zbqnvnlgrjcnpmbkdmtvmdfouroneqctnnm2,9,2,92
onefivekpfrdbxcmn3sevenonerfzmcsvbjgtcxndv,1,1,11
seven814nskmxzpcnvfppntrssthree,7,3,73
74jfmrfkznsfiveeighttwofivethree1,7,1,71
sixgh8,6,8,68
fhnlhfour3jhrzjdsrfour4five,4,5,45
qgzblcqp9,9,9,99
jrk377gdrjfldpqmeightffrlxffive,3,5,35
36eightsixgvninezkl,3,9,39
3hshcq9r,3,9,39
dmrhgkv2njtwo95,2,5,25
6pktmsdxpmpvmpfc4eight,6,8,68
five1five6hnpbzpmcccnqpfive,5,5,55
lmsbmvmrrljf4ninesix4threertxtsvfour,4,4,44
419six,4,6,46
tstsix3six,6,6,66
37seven,3,7,37
sixtwovghcj32pj,6,2,62
x66four6,6,6,66
72twosixnvdcq2nvkmgbsb,7,2,72
kvxprh1tnlrpmcldsshh5kcdfxmbcbfour,1,4,14
2threekqqcvtxjrktkqpddqhfourpbqqcrgbdeighteight,2,8,28
rltdhqvnm8,8,8,88
sevenninetjvvfxcv7,7,7,77
bhmkxpvhrqkfive8fourtwotwo1lcbkk,5,1,51
threepcnnzhkbzfbhqtn3eight544rtsrtcc,3,4,34
eight7onekqdvzvsmxcpgfjlllhtptnrmv,8,1,81
47zsqd2pnsgjhpkxljpvnine,4,9,49
8ldxnsfour,8,4,84
two7vpjfvhtmqdcrqlonekkqrnc32,2,2,22
12znrsmjqf,1,2,12
eightsixeighttjjhqsevenns1qbkstj,8,1,81
pcpcrqshftwo4,2,4,24
sixtwoninenmffcmfldb81,6,1,61
five75pvngkvx9nnlttwotwonev,5,1,51
1739lkzpsfzdsixfoureight,1,8,18
threekqvbcfiveltbrtjjtdcchtjthxvztkjpd3eightsix,3,6,36
qrxtwonefive9,2,9,29
96zthtvk8228bmfllnc,9,8,98
tmnsgdz3fourtpmtcvtfqdcteighttm,3,8,38
rmpbtfqxmmtwokn5two,2,2,22
ninefive65,9,5,95
qzmthdvvzmxthf82fivesevenbvdt8dscnl,8,8,88
onenfhgqqpdrtxvzn961sxjhxlg2nmxzkbp,1,2,12
9eightone,9,1,91
fourfhnzmcfour6lshj,4,6,46
eightzlffkpcbrbjjpmjrz7tcgjonefourthree,8,3,83
twomdzv77four2437,2,7,27
bvcgtrxthg863,8,3,83
4fpmpsxzdshdszvckpxqkgfourxnrpp,4,4,44
one3sevenmfmlk,1,7,17
eightthreenvfp439,8,9,89
bm9,9,9,99
jssc74tlhvfdjs6kdxzrskxrdtfqnnkfczr,7,6,76
v2eightsix,2,6,26
eight2mflbkmeightqfivethreefour,8,4,84
fdchmls7,7,7,77
7cgtkzkdvkfour,7,4,74
one237,1,7,17
69tfpdbmcrbqq1,6,1,61
poneightfiveninefivetwosccxmtbf28,1,8,18
87sevenpzbjhjvqonetwo,8,2,82
xsbsqpdlp9threejpjmrctbkrjrsevenone,9,1,91
cmhxdcpl85jhtpnttwonzlcrcfivevxxqn,8,5,85
1zxccxdpkl9tdqkgfxsevenvhlrmvfhvvzdzbk,1,7,17
lqmnvtdqngqjh355,3,5,35
mcsttwo43bsdrtt7three9bhlh,2,9,29
pvmtwonefour8eight8,2,8,28
2tgcpztjnqkldhshbmxnm,2,,2
5zqkkcnnsh3,5,3,53
vqfmjzln6xnrpnrpqkdpqfgxfnine2,6,2,62
87eighttwo1,8,1,81
sevenxrdhnpz87zzjzhxcbbxqxeightsixoneightssl,7,8,78
pdpgbbhpzzmhqfhkprgx1twoonethree,1,3,13
gggfnvtxvpsix6slxrninenine56,6,6,66
dxbhdfrvgqkhch5seveneight,5,8,58
7five3,7,3,73
fourfive1fourptggnine,4,9,49
three6npf45kjrbrg94nine,3,9,39
4twonev,4,1,41
4rgpf98two,4,2,42
7chcnzghmcznftwo5,7,5,75
dvskzxcgnljmgxfntwo73,2,3,23
qboneight5nine1vftwotwo,1,2,12
54lqlzgjqctwosix,5,6,56
zxqnine57,9,7,97
3onethree,3,3,33
eightfive2xxxtwoblfjhlq9b,8,9,89
6ninesqvjsrz813,6,3,63
6734,6,4,64
2jcxkckrj7crncbonevskt,2,1,21
167fivef1,1,1,11
three9five2eightfivetpdlpxljgnineone,3,1,31
9two6five,9,5,95
xxktwoone2crphztrtndrjgs,2,2,22
gcjzskxzmtwo45seventwoqvzpfive,2,5,25
8phdzrrlkhqjrmlgshlmonefggsnslj,8,1,81
threer3oneeightfive43,3,3,33
six1one,6,1,61
dzoneight8,1,8,18
sdztwoneghxmqxlgv68,2,8,28
9onecjone9ppvlt,9,9,99
2svml3fourfl6five,2,5,25
clknqq83ninefive,8,5,85
1tgfkdnqgoneightzf,1,8,18
9onesixfiveqcclnl,9,5,95
onedvchs4,1,4,14
strmhlxs2threefouroneseven,2,7,27
dpbxhlgkzbtwo32nrdtwo,2,2,22
seven38sixfivehlkdsj12,7,2,72
eightfive6,8,6,86
8sevenfour8mknvzhfnzvbjplldpqkvvrcrmfourfive,8,5,85
xmzjtktmsixsix2ninesvqgxc,6,9,69
7fourbpn1four,7,4,74
8nineqksmfivevdknb,8,5,85
8kfv4ldzf,8,4,84
71fiveeight,7,8,78
bbmtpsdbnktndcnthreethree2jeightsevenxl,3,7,37
ntggphnine3,9,3,93
6vfb5,6,5,65
9pqjp3fivedssspd,9,5,95
pmsixeight7x6,6,6,66
1nine5sixoneightmm,1,8,18
threefbhsjcqrstdzkfgsllpktqljnlsevengbvpmvhlthree5two,3,2,32
9rqfdgxl4pgfbdsfonedbmjqthnsevenone,9,1,91
ccqknlg29bzxdrdx,2,9,29
vtbjqtjhr23,2,3,23
sevenvstvhd1ninesix,7,6,76
sixdjszthree7,6,7,67
6jhnj4,6,4,64
2fivenjrfkz,2,5,25
one55,1,5,15
69fourvttjxr,6,4,64
kqpqtkss7lxfxsfsmxqkfpcrjm,7,7,77
459xr,4,9,49
46nzsfive,4,5,45
s4jhbqgpmsninesixfivefiveone,4,1,41
4twofivefive,4,5,45
528nmtcfptktmfivesixfour,5,4,54
78qnkp,7,8,78
zbgrb4mskvlrkcftbpjr2twones,4,1,41
tvcjhbv4nine,4,9,49
three6mxsxvlljdnsgtzrfouroneightlp,3,8,38
6jc7two,6,2,62
one9kmkrvjrzbv6eight1seven9seven,1,7,17
fivesixstjrxhn7zmjthsdk3fcjsq6,5,6,56
ncbzqeightfivetbpmzrvp44ctpjhg,8,4,84
sevenrgvgkzktvjdd92,7,2,72
5eightsj,5,8,58
83nine7hzjvjxmbn,8,7,87
sgspsggkbzfour9,4,9,49
two5fivetwofive41eightwosm,2,2,22
onejmk5eight,1,8,18
nine11,9,1,91
xlhx53qrnvqfiveclj7six,5,6,56
oneeightone1five8one14,1,4,14
56d3,5,3,53
5sevenseven9dnhkhhpjzbqkrt31,5,1,51
r6one,6,1,61
sevendh46,7,6,76
eighttwofivesevennine915eightwomjk,8,2,82
four26three,4,3,43
sixrspdrhltrseven3,6,3,63
3bf1two,3,2,32
6ts,6,,6
sevenhnvgvkhztsqbqcvm17btpzrrrfpsnr,7,7,77
eight8fourldzrzhpmppkcfcchtzpteightthree5,8,5,85
124,1,4,14
379qtfive,3,5,35
4pp,4,,4
128pqgtqrjdhlrfivesixthree,1,3,13
f7ninesix,7,6,76
16hqkxjnmd,1,6,16
9sixsix98qhblkzh,9,8,98
13nine8glvsfkrqs,1,8,18
ninegdnhsfgckc7two,9,2,92
onenine69lzqx7gxhcdcg34,1,4,14
67993fivexcx,6,5,65
nine6dbqrthree9five6bone,9,1,91
zvfmz6thgmqgqsvnqpxtdx575,6,5,65
eighteight2,8,2,82
five2five,5,5,55
lprqsrxqceighttwo744mptdngcgmchkg,8,4,84
1seven3ztfhcsrkdj76rmjz8,1,8,18
h4fiveeightfournineblvhhnnqpsix,4,6,46
sixk4,6,4,64
nine7vhpkkztwo,9,2,92
8jfrfchzpk54sixcfbdfrccpv3,8,3,83
9zkxnqjfzcrdseven8ninefivenine,9,9,99
ninefivenrfmttdq9vgtnqsxcmh,9,9,99
5tgjvsix5,5,5,55
722fvzzn,7,2,72
23threethree,2,3,23
7two5hszrj5nineonethreedp,7,3,73
2lpdzpzeightfive2onethree,2,3,23
lptvrd5qjnstntpld44eight6bflqd,5,6,56
ldh1three,1,3,13
tx9kgbrrvthreezkxhpn6,9,6,96
g5gks6fivel,5,5,55
hlblkd3threedcqhbtmktvtzqrmjhgtgtxnfbbdffmckbqxxp,3,3,33
dfjmnine71vfndzz,9,1,91
66eightfivepzqvsrlrr5,6,5,65
seven2threeninemcmlhfmkndhtdeightthreethree,7,3,73
6ktfgglmnvjgxsevenfourjzgp6eight,6,8,68
76zvbblfrthreeeight2ninefive,7,5,75
fivetgprhplmsmhslrtpr31six4,5,4,54
sevensevenone71rgqb6three8,7,8,78
34htvldclbxmeightwon,3,2,32
five1klzmf3,5,3,53
5dqpfivethree4,5,4,54
p6,6,6,66
xrtwone719,2,9,29
tmtwonefive3sevenqqpz8twotdsn6,2,6,26
qvcdkggrh644,6,4,64
899tnqhhzcjxxllmp139prgx,8,9,89
sixnrsgvmrggcl6,6,6,66
ccjq3one,3,1,31
5threejbhlrrlone1four,5,4,54
ninefive1ninevhndvmrbqzcnlccptbvl,9,9,99
3sevenonepnjxhkbtc,3,1,31
3ninelck34eight,3,8,38
jmjcc88trmxvsvkgxdjlh78jjtwo,8,2,82
mpfpnqqrsspmdjpkmrrlljrlsddnsix38three,6,3,63
mtttwo97,2,7,27
4xfnjbsplqnxtns13qlsnbhn,4,3,43
eight69eight,8,8,88
two6dtrfmgh4,2,4,24
qtgvqlzp175zxt5,1,5,15
sgmqvl9tmnthree2,9,2,92
db47six6nkgdqvc,4,6,46
6jrsixlldvpn2onekrqninejh,6,9,69
gdrqhbkpg3one,3,1,31
7threeseven8threegqlml6mjmtc2,7,2,72
nptwothree8five,2,5,25
8kxmjpnctddeightnine5twonevzf,8,1,81
threefour7fivelhvxvhlqzfn,3,5,35
spfgjxkcnfourllmv3v9four,4,4,44
7xzksddd7v8pjrv4five,7,5,75
68fq1four,6,4,64
threel6dd7one,3,1,31
pnrsevenseven5four95,7,5,75
4sevenqlzjjcdsvfdtzcjp,4,7,47
1kxfmrsix58ninenrmmlvtd,1,9,19
743threeqfxmmtvkczhteight,7,8,78
bslvhvlspr8dsmhjlrcfjsixnine,8,9,89
2mpjmtrrnineeightklxflnvgr,2,8,28
gxnzcrf4xvgcgb9one368,4,8,48
4three5j28xl,4,8,48
2seventkdnfrkvnd7,2,7,27
7llbkvzblfdtwo667six,7,6,76
two7onethree2fivesixhgjg,2,6,26
gthreelprkltjbqp7sevensix,3,6,36
q41cpcpjh,4,1,41
nine42fivefzztjknfv,9,5,95
five3kblrgsonedxjhsnxfour56,5,6,56
fckqjbs1cbblpbvtxdlcvtwotwo,1,2,12
9xvjszgkbcfourninerp8nine,9,9,99
vmlx27oneqzmffghcmfpn47,2,7,27
tjschpthreecbb6sclbfivejzlbd,3,5,35
77sfzkxdfdjnbnseven3knnqgvjbm,7,3,73
threeqgfcrn2,3,2,32
four7qcrxlcjsklhjcsz2731,4,1,41
sixreightsixqhflvseven8,6,8,68
1xxngrjnfsixfiveslrfivenkplbgnqxg,1,5,15
onefnhbcjqrthree7jlbcfgdl5,1,5,15
81oneightrgr,8,8,88
sixmqgdfgscr6three,6,3,63
sixxlcsix2,6,2,62
1zrqllfszlhqgp2,1,2,12
pcvrlxfml5znrjc542,5,2,52
pctzcvgrfj82,8,2,82
jnrlqsptfivetwokghkr8sevenlzdf,5,7,57
kfbdrtgtgsix9sevenone,6,1,61
ppzqjzvvfive39eighteightthree,5,3,53
bzblbmns62seven7jvdgxknx1one,6,1,61
foureightsevenmtwo7,4,7,47
3dxbt6h,3,6,36
7phdxhtsbmfzmhzlsh3four,7,4,74
fsrcjfour2kllnxdbfhnine3six,4,6,46
dp6sevenseven,6,7,67
nqf3pv7,3,7,37
fivesckjvndbf1eightfivejqzcsn,5,5,55
eightqxbx3jdzmcsvrpv9fplreightzdrlbpfj,8,8,88
one6twoeightkrrfdgrttxvthgfour,1,4,14
sevenseven3sixsdrtj,7,6,76
rstsevensix4oneseven7mrccrxmht,7,7,77
fourthreehjthr8five,4,5,45
fourxmxncslkq71,4,1,41
seven1b5two,7,2,72
3four9eightfour34,3,4,34
76one6four,7,4,74
sixsixpzghqfqndvpcmzt4tftxxpjbghs,6,4,64
fouronenine7eightwot,4,2,42
two77mplckblrclfqgpgsx24seveng,2,7,27
eight6twoeight18fczfn5four,8,4,84
7dxqshsmhrvbnfgjq5,7,5,75
nine52three,9,3,93
3thbtwo,3,2,32
two9sixeightoneeight,2,8,28
mklp1qqgkgcceightfour77,1,7,17
13onermtxflmnmq8qxhkhxthree2,1,2,12
397rhmknine96rzfgbr,3,6,36
8fourseveneighthb67,8,7,87
89625t,8,5,85
fbfxgqsqhthree74seven5,3,5,35
8threegnqhhpfx,8,3,83
zdsfs682,6,2,62
76lqkvfhtdpseven4lfpvkxjgqtwobbrz,7,2,72
7zthreesevenfour9four,7,4,74
ninefc6eight4two5oneighttfn,9,8,98
eight32,8,2,82
eighteight6lqgrgbntgkkzfqdjhxtwo,8,2,82
8vdzgsqnsix551,8,1,81
6klxfrfqzbsrnxmmdbnqbvfpzcjtx5two36,6,6,66
nhcdmxpvg5kmmknrnine,5,9,59
17tpsvtclthree,1,3,13
five84eightfjrznfsrb,5,8,58
fjzfb6onefourhtlmvlns,6,4,64
zqmmfdkl8,8,8,88
3sixeightnkgpssqnkrsclmshzzfhxxhvxlsljgfgnltbpc1twoneqd,3,1,31
8frbccqkvdtwoc,8,2,82
zeightwoeightptmkdhx3eightnineqx4,8,4,84
pbfnine6three8six5jtxmeight,9,8,98
eight78,8,8,88
1bhlgn5five,1,5,15
xnhhlgfrqbgfhhnvllhptfh3,3,3,33
ljjllzbbffpxcjrztzthreermg6fzqqpd,3,6,36
72mmjrfjvlzone3threethreesix,7,6,76
fiveonecfsfsix74twocllbfnptkgttf,5,2,52
